date,temp,ws,wd,pm10
1/1/2012 0:00,8.6,1,54.6,20
1/2/2012 0:00,6.9,0.9,85.3,21
1/3/2012 0:00,5.8,0.2,92.8,54
1/4/2012 0:00,7.7,0.7,36.8,35
1/5/2012 0:00,6.4,0.5,127.9,37
1/6/2012 0:00,6.6,0.3,112,46
1/7/2012 0:00,8.1,0.9,178.2,41
1/8/2012 0:00,7.1,1.2,102.6,24
1/9/2012 0:00,3.4,1,81.4,13
1/10/2012 0:00,4.1,0.4,197.5,23
1/11/2012 0:00,7.1,0.3,89.7,31
1/12/2012 0:00,4,1,64.2,23
1/13/2012 0:00,4.3,0.5,15.8,33
1/14/2012 0:00,3.8,0.2,126.3,41
1/15/2012 0:00,8,0.7,188,37
1/16/2012 0:00,10.2,1.6,237.7,82
1/17/2012 0:00,9.2,0.9,193.3,27
1/18/2012 0:00,8.3,0.9,180.5,28
1/19/2012 0:00,9.8,1,187.5,27
1/20/2012 0:00,11.3,1.5,213.2,37
1/21/2012 0:00,12.2,1.5,195.2,25
1/22/2012 0:00,11.1,1.6,256.1,63
1/23/2012 0:00,8.8,0.6,171.2,57
1/24/2012 0:00,7.5,0.6,11.7,30
1/25/2012 0:00,7.6,0.4,86.3,20
1/26/2012 0:00,7.7,0.5,157.6,28
1/27/2012 0:00,12,1.5,41.2,29
1/28/2012 0:00,8.6,1.7,77.1,54
1/29/2012 0:00,6.4,0.2,323.2,34
1/30/2012 0:00,7.9,0.6,171.4,42
1/31/2012 0:00,9.8,0.7,140.7,53
2/1/2012 0:00,9.5,0.5,117,39
2/2/2012 0:00,10.2,0.8,187.1,44
2/3/2012 0:00,8.7,0.8,107.4,33
2/4/2012 0:00,8,3.5,78.8,62
2/5/2012 0:00,6.3,2.3,84.2,22
2/6/2012 0:00,7.4,0.6,162,44
2/7/2012 0:00,8.4,2,50.1,31
2/8/2012 0:00,8.8,2.1,71.6,36
2/9/2012 0:00,9.3,0.7,296.1,44
2/10/2012 0:00,10.3,1,133,36
2/11/2012 0:00,8.6,1.5,79.7,77
2/12/2012 0:00,6.5,2.3,72.4,24
2/13/2012 0:00,9.3,1.2,196.1,39
2/14/2012 0:00,9.3,1.8,236.2,171
2/15/2012 0:00,7.7,2.3,199.2,26
2/16/2012 0:00,10,4,76,56
2/17/2012 0:00,6.7,3.6,89.6,12
2/18/2012 0:00,7.7,2.7,251.1,16
2/19/2012 0:00,8.8,3.6,236.4,35
2/20/2012 0:00,10.4,4.2,217.9,19
2/21/2012 0:00,10.3,3.6,264,25
2/22/2012 0:00,12.5,2.9,229.7,26
2/23/2012 0:00,14.4,2,190.3,56
2/24/2012 0:00,8.8,1.7,82.8,97
2/25/2012 0:00,9.6,0.8,168.7,52
2/26/2012 0:00,13.3,0.9,181.4,43
2/27/2012 0:00,14.3,1.1,102.9,42
2/28/2012 0:00,12.1,2.1,263.5,116
2/29/2012 0:00,9.9,0.9,197.9,47
3/1/2012 0:00,10.8,1.3,202.3,58
3/2/2012 0:00,10.2,2,333.7,169
3/3/2012 0:00,6.9,0.8,323.5,26
3/4/2012 0:00,9.6,0.4,154.2,44
3/5/2012 0:00,12.8,0.5,159.7,55
3/6/2012 0:00,15.8,1.8,202.4,93
3/7/2012 0:00,15.8,2.7,215.9,520
3/8/2012 0:00,7.8,2,111.8,116
3/9/2012 0:00,5.4,2.8,88.9,32
3/10/2012 0:00,4.4,1.6,60.7,29
3/11/2012 0:00,8.9,1.6,204.5,30
3/12/2012 0:00,12.6,0.6,169.1,55
3/13/2012 0:00,15.6,0.5,177.2,51
3/14/2012 0:00,16.3,0.6,174.6,59
3/15/2012 0:00,14.3,0.4,139.8,59
3/16/2012 0:00,16.7,0.7,185.5,63
3/17/2012 0:00,18,1.6,198.5,102
3/18/2012 0:00,16.5,3.8,217.4,1739
3/19/2012 0:00,6.1,2.2,264,35
3/20/2012 0:00,7.3,1,281,23
3/21/2012 0:00,10.1,0.7,194,25
3/22/2012 0:00,14.8,0.5,206.7,35
3/23/2012 0:00,17.3,0.7,179.7,38
3/24/2012 0:00,18.4,0.5,77.6,51
3/25/2012 0:00,20.7,0.9,220.1,45
3/26/2012 0:00,19.9,1.1,191.5,48
3/27/2012 0:00,18.1,0.6,219.6,49
3/28/2012 0:00,19.2,0.6,257.6,48
3/29/2012 0:00,19.5,0.9,233.3,51
3/30/2012 0:00,19.1,0.8,194.5,54
