date,temp,ws,wd,pm10
1/1/2012 0:00,7.6,0.7,317.6,21
1/1/2012 1:00,4.4,0.9,0.6,17
1/1/2012 2:00,5.7,0.8,352.3,10
1/1/2012 3:00,5.1,1.2,134.3,17
1/1/2012 4:00,2.7,0.3,91,17
1/1/2012 5:00,1.5,0.3,278.3,15
1/1/2012 6:00,0.8,0.6,147,15
1/1/2012 7:00,1.2,0.1,7.8,22
1/1/2012 8:00,7.9,0.3,310.6,22
1/1/2012 9:00,11.1,1,280.9,24
1/1/2012 10:00,13.7,0.7,279.8,19
1/1/2012 11:00,15.8,0.2,64.4,19
1/1/2012 12:00,15.4,1.5,76.5,26
1/1/2012 13:00,15.8,2.6,69.4,21
1/1/2012 14:00,16.2,2.5,72.6,19
1/1/2012 15:00,16.1,2.3,72.6,23
1/1/2012 16:00,14.4,1.9,76.4,20
1/1/2012 17:00,11.2,1.7,63.5,20
1/1/2012 18:00,9.7,1.2,67.7,21
1/1/2012 19:00,8.7,1.3,48,18
1/1/2012 20:00,6.3,0.5,105.2,37
1/1/2012 21:00,5.1,1,76.6,29
1/1/2012 22:00,5.6,1.7,82.4,16
1/1/2012 23:00,4.5,0.7,70.8,14
1/2/2012 0:00,3.8,1.2,75.5,11
1/2/2012 1:00,3.3,0.9,113.6,16
1/2/2012 2:00,0.3,0.1,248.2,19
1/2/2012 3:00,1.5,1,89.8,15
1/2/2012 4:00,0.2,0.5,52.7,17
1/2/2012 5:00,0.7,0.7,39.3,13
1/2/2012 6:00,-0.6,0.6,75.8,20
1/2/2012 7:00,-0.5,0,334.3,29
1/2/2012 8:00,5.5,1,80.2,28
1/2/2012 9:00,8,0.9,95.3,25
1/2/2012 10:00,11,0.9,176.2,24
1/2/2012 11:00,13.1,0.8,208,23
1/2/2012 12:00,15.9,0.8,225.1,21
1/2/2012 13:00,16.8,0.7,196.6,22
1/2/2012 14:00,17.8,0.5,69.3,19
1/2/2012 15:00,15.4,2.4,75.6,19
1/2/2012 16:00,14.1,2,75.4,19
1/2/2012 17:00,10.4,1.8,52.7,19
1/2/2012 18:00,8.7,2,51.1,20
1/2/2012 19:00,7.8,1.9,61.5,18
1/2/2012 20:00,6.6,1.8,72.7,16
1/2/2012 21:00,4.6,0.2,108.9,21
1/2/2012 22:00,2.2,0.1,284.5,39
1/2/2012 23:00,1,0.1,238.2,40
1/3/2012 0:00,0,0.1,140.5,35
1/3/2012 1:00,-1,0,173.4,28
1/3/2012 2:00,-1.9,0.1,46.1,26
1/3/2012 3:00,-2.7,0,22.2,20
1/3/2012 4:00,-2.5,0.1,215.4,21
1/3/2012 5:00,-2.9,0.1,91.9,23
1/3/2012 6:00,-3.5,0.1,27.3,26
1/3/2012 7:00,-1.9,0.1,299.6,38
1/3/2012 8:00,4.5,0.5,349,38
1/3/2012 9:00,6.9,0.8,339.6,69
1/3/2012 10:00,10.5,0.5,340.3,28
