date,temp,ws,wd,pm10
1/1/2012 0:00,,1.7,138.6,13
1/2/2012 0:00,,1.4,134.4,13
1/3/2012 0:00,,0.8,91.4,16
1/4/2012 0:00,,2.1,8.1,12
1/5/2012 0:00,,1.9,288.8,7
1/6/2012 0:00,,0.9,60.9,15
1/7/2012 0:00,,2.7,227.9,9
1/8/2012 0:00,,2.4,214.7,11
1/9/2012 0:00,,2,1.4,7
1/10/2012 0:00,,1,180.4,6
1/11/2012 0:00,,2,313.6,7
1/12/2012 0:00,,2.2,178.7,10
1/13/2012 0:00,,1.6,349.4,7
1/14/2012 0:00,,1.3,83.1,8
1/15/2012 0:00,,1.7,219,12
1/16/2012 0:00,,4.3,245.1,23
1/17/2012 0:00,,3.9,257.1,4
1/18/2012 0:00,,4.1,262.8,5
1/19/2012 0:00,,2.8,233.2,5
1/20/2012 0:00,,7.1,264.5,8
1/21/2012 0:00,,3.6,230.7,8
1/22/2012 0:00,,6.4,269.2,43
1/23/2012 0:00,,1.6,235,26
1/24/2012 0:00,,3.3,295,19
1/25/2012 0:00,,4.3,348.5,5
1/26/2012 0:00,,1.8,123.1,7
1/27/2012 0:00,,1.9,54,10
1/28/2012 0:00,,2.2,184.8,20
1/29/2012 0:00,,1.3,34,10
1/30/2012 0:00,,2,228.4,11
1/31/2012 0:00,,2.6,244.3,13
2/1/2012 0:00,,1.7,155.3,14
2/2/2012 0:00,,3.4,256.2,13
2/3/2012 0:00,,2,307.4,17
2/4/2012 0:00,,4.1,149.2,18
2/5/2012 0:00,,4.6,137.9,17
2/6/2012 0:00,,2.6,178.4,15
2/7/2012 0:00,,3.5,54.1,19
2/8/2012 0:00,,1.8,188.9,32
2/9/2012 0:00,,2.4,275.4,
2/10/2012 0:00,,2,215.8,
2/11/2012 0:00,,4,140,
2/12/2012 0:00,,4.9,148.7,
2/13/2012 0:00,,4,256.9,
2/14/2012 0:00,,5.9,248,
2/15/2012 0:00,,3.2,244.5,
2/16/2012 0:00,,2.6,159.8,18
2/17/2012 0:00,,2.8,323.3,8
2/18/2012 0:00,,2.2,289.8,2
2/19/2012 0:00,,3.7,231.2,7
2/20/2012 0:00,,4,256.7,9
2/21/2012 0:00,,3.6,281.8,7
2/22/2012 0:00,,4.7,265,10
2/23/2012 0:00,,7.7,264.8,44
2/24/2012 0:00,,2.3,180.9,45
2/25/2012 0:00,,3.1,212.4,28
2/26/2012 0:00,,2.4,233.2,23
2/27/2012 0:00,,3.4,134.9,32
2/28/2012 0:00,,6.7,265.2,78
2/29/2012 0:00,,2.8,245.8,13
3/1/2012 0:00,,5.2,251.4,99
3/2/2012 0:00,,6,280.5,122
3/3/2012 0:00,,3.2,335.9,11
3/4/2012 0:00,,2,1,19
3/5/2012 0:00,,1.8,224.3,20
3/6/2012 0:00,,4.2,230.5,26
3/7/2012 0:00,,8.2,234.7,301
3/8/2012 0:00,,3.8,268.7,85
3/9/2012 0:00,,3.6,138.9,36
3/10/2012 0:00,,3.8,172.2,14
3/11/2012 0:00,,4.2,231.3,10
3/12/2012 0:00,,2.5,229,12
3/13/2012 0:00,,1.9,237.4,16
3/14/2012 0:00,,2.5,265.5,12
3/15/2012 0:00,,2.2,209.7,12
3/16/2012 0:00,,2.4,271.9,
3/17/2012 0:00,,4.7,228.1,
3/18/2012 0:00,,7.8,236,
3/19/2012 0:00,,6.7,263.4,56
3/20/2012 0:00,,4.3,293,2
3/21/2012 0:00,,2.2,232.3,13
3/22/2012 0:00,,2.1,238.2,12
3/23/2012 0:00,,2.6,263.1,10
3/24/2012 0:00,,1.5,259.7,13
3/25/2012 0:00,,3.1,223.7,15
3/26/2012 0:00,,3.9,263.1,8
3/27/2012 0:00,,2.3,283.5,20
3/28/2012 0:00,,2.6,280.9,20
3/29/2012 0:00,,4,263.8,42
3/30/2012 0:00,,3.2,257.7,36
3/31/2012 0:00,,3.6,258.5,24
4/1/2012 0:00,,6.3,250.3,
4/2/2012 0:00,,7.7,275,
4/3/2012 0:00,,2.4,284.5,
4/4/2012 0:00,,2.7,265.1,
4/5/2012 0:00,,3.2,220.3,
4/6/2012 0:00,,4.5,265.3,18
4/7/2012 0:00,,2.3,21.2,39
4/8/2012 0:00,,3.3,132.5,38
4/9/2012 0:00,,1.8,141.7,20
4/10/2012 0:00,,2.6,165.7,30
4/11/2012 0:00,,4.7,226.2,26
4/12/2012 0:00,,4.8,268.7,22
4/13/2012 0:00,,3.6,224.7,16
4/14/2012 0:00,,9.4,255.2,479
4/15/2012 0:00,,4.5,268.3,20
4/16/2012 0:00,,1.6,215.2,9
4/17/2012 0:00,,1.9,178.6,16
4/18/2012 0:00,,2.9,249.8,24
4/19/2012 0:00,,6.5,261.2,25
4/20/2012 0:00,,2.5,46.1,20
4/21/2012 0:00,,1.7,170.9,15
4/22/2012 0:00,,1.7,190.8,22
4/23/2012 0:00,,2.5,150.7,33
4/24/2012 0:00,,2.8,255,26
4/25/2012 0:00,,2.9,272.2,14
4/26/2012 0:00,,5.9,236.8,105
4/27/2012 0:00,,4.7,263.5,21
4/28/2012 0:00,,3.1,265.9,17
4/29/2012 0:00,,2.8,257.4,17
4/30/2012 0:00,,3.2,265.6,17
5/1/2012 0:00,,4.8,261.6,18
5/2/2012 0:00,,4.5,248.3,13
5/3/2012 0:00,,4.2,264.9,14
5/4/2012 0:00,,3.9,261.3,14
5/5/2012 0:00,,5.3,263.2,21
5/6/2012 0:00,,4.3,257.3,20
5/7/2012 0:00,,3.5,227.7,36
5/8/2012 0:00,,4.6,108.2,38
5/9/2012 0:00,,2.5,207.4,7
5/10/2012 0:00,,1.7,211.7,4
5/11/2012 0:00,,2.5,166.1,15
5/12/2012 0:00,,4.2,130.8,11
5/13/2012 0:00,,4,146.4,19
5/14/2012 0:00,,2.3,135.9,13
5/15/2012 0:00,,2.2,150,6
5/16/2012 0:00,,3.4,134.8,13
5/17/2012 0:00,,3.2,222,23
5/18/2012 0:00,,5.6,240.8,21
5/19/2012 0:00,,4.3,263.9,27
5/20/2012 0:00,,2.5,95.4,38
5/21/2012 0:00,,3.8,140.5,41
5/22/2012 0:00,,4.4,243,28
5/23/2012 0:00,,6.6,243.4,53
5/24/2012 0:00,,6.2,247.4,46
5/25/2012 0:00,,4.8,226,37
5/26/2012 0:00,,5.3,224.7,32
5/27/2012 0:00,,3.8,258,14
5/28/2012 0:00,,,,
5/29/2012 0:00,,2.7,260.2,20
5/30/2012 0:00,,4.5,258.6,21
5/31/2012 0:00,,2.6,128.1,52
6/1/2012 0:00,,3.7,169.2,26
6/2/2012 0:00,,3.2,203.8,31
6/3/2012 0:00,,4,259.9,32
6/4/2012 0:00,,2.7,248.5,33
6/5/2012 0:00,,2.8,236,46
6/6/2012 0:00,,2.6,255.8,18
6/7/2012 0:00,,2.9,268,21
6/8/2012 0:00,,3.1,264.1,23
6/9/2012 0:00,,5,248.4,29
6/10/2012 0:00,,6.1,261.9,29
6/11/2012 0:00,,2,214.7,22
6/12/2012 0:00,,2.5,205.3,25
6/13/2012 0:00,,2.5,234.6,26
6/14/2012 0:00,,3,236.2,27
6/15/2012 0:00,,5.1,236.7,75
6/16/2012 0:00,,2.7,131.4,33
6/17/2012 0:00,,2.2,195.9,15
6/18/2012 0:00,,4,274.2,19
6/19/2012 0:00,,4.7,264.7,20
6/20/2012 0:00,,1.8,312.8,25
6/21/2012 0:00,,4.4,109.8,60
6/22/2012 0:00,,3.7,136.4,21
6/23/2012 0:00,,3.7,134.8,17
6/24/2012 0:00,,2.5,153.3,24
6/25/2012 0:00,,,,
6/26/2012 0:00,,,,
6/27/2012 0:00,,,,
6/28/2012 0:00,,2.1,129.1,51
6/29/2012 0:00,,1.8,115,50
6/30/2012 0:00,,2.1,143.7,32
7/1/2012 0:00,,4.2,130,23
7/2/2012 0:00,,3.4,138.9,16
7/3/2012 0:00,,3,156.7,23
7/4/2012 0:00,,3.9,238.2,10
7/5/2012 0:00,,2.6,234.2,9
7/6/2012 0:00,,1.7,87.1,11
7/7/2012 0:00,,1.8,73.9,13
7/8/2012 0:00,,1.8,88,12
7/9/2012 0:00,,3.2,106.6,22
7/10/2012 0:00,,2.8,108.7,7
7/11/2012 0:00,,2.9,141.6,11
7/12/2012 0:00,,2.5,131.9,14
7/13/2012 0:00,,3.1,143,18
7/14/2012 0:00,,2.8,141.7,18
7/15/2012 0:00,,3.2,142.2,15
7/16/2012 0:00,,2.5,185.7,18
7/17/2012 0:00,,2.1,285.9,8
7/18/2012 0:00,,2.4,137.2,18
7/19/2012 0:00,,2.9,100,15
7/20/2012 0:00,,3.7,128.4,17
7/21/2012 0:00,,2.3,118.7,19
7/22/2012 0:00,,2.6,134.6,20
7/23/2012 0:00,,2.1,301.5,23
7/24/2012 0:00,,3.2,229.1,83
7/25/2012 0:00,,2,236.8,12
7/26/2012 0:00,,1.6,129.3,15
7/27/2012 0:00,,2.4,131.7,12
7/28/2012 0:00,,2.4,128.5,24
7/29/2012 0:00,,2.9,133.7,23
7/30/2012 0:00,,1.8,154.1,25
7/31/2012 0:00,,2.8,205.4,13
8/1/2012 0:00,,2.4,249.6,15
8/2/2012 0:00,,2.8,262.5,15
8/3/2012 0:00,,3.8,260.7,17
8/4/2012 0:00,,1.8,46.4,12
8/5/2012 0:00,,4.3,91.8,28
8/6/2012 0:00,,2,137.3,22
8/7/2012 0:00,,1.7,101.7,22
8/8/2012 0:00,,2.9,96.4,18
8/9/2012 0:00,,2.8,115.7,20
8/10/2012 0:00,,3.2,117.7,21
8/11/2012 0:00,,2.6,156.7,24
8/12/2012 0:00,,1.9,121.8,34
8/13/2012 0:00,,3.3,135.8,31
8/14/2012 0:00,,2,136.2,26
8/15/2012 0:00,,1.6,254.8,19
8/16/2012 0:00,,2.9,200,28
8/17/2012 0:00,,2.2,101.9,10
8/18/2012 0:00,,1.5,207.6,6
8/19/2012 0:00,,2.2,87.8,31
8/20/2012 0:00,,2,185.6,16
8/21/2012 0:00,,2.3,137.6,19
8/22/2012 0:00,,2.6,104.9,23
8/23/2012 0:00,,2.2,189.6,
8/24/2012 0:00,,4,236.1,7
8/25/2012 0:00,,1.7,242.7,11
8/26/2012 0:00,,2,134.4,15
8/27/2012 0:00,,2.6,120.7,16
8/28/2012 0:00,,2.9,133.3,19
8/29/2012 0:00,,1.8,142.2,17
8/30/2012 0:00,,1.8,157.7,18
8/31/2012 0:00,,2.3,150.4,22
9/1/2012 0:00,,1.6,153.4,21
9/2/2012 0:00,,1.9,164.3,24
9/3/2012 0:00,,2.3,22.9,27
9/4/2012 0:00,,3.1,280.8,17
9/5/2012 0:00,,2.8,233.8,19
9/6/2012 0:00,,3.2,180.8,21
9/7/2012 0:00,,3,237,16
9/8/2012 0:00,,2.8,13.9,7
9/9/2012 0:00,,1,82.8,16
9/10/2012 0:00,,1.5,164.1,16
9/11/2012 0:00,,2.7,229.2,15
9/12/2012 0:00,,3,260.3,7
9/13/2012 0:00,,4,11.7,7
9/14/2012 0:00,,2.6,201.3,13
9/15/2012 0:00,,1.4,196.3,13
9/16/2012 0:00,,2.2,175.4,11
9/17/2012 0:00,,3.6,280.1,12
9/18/2012 0:00,,2,133.7,34
9/19/2012 0:00,,1.9,196.8,22
9/20/2012 0:00,,1.5,205.9,14
9/21/2012 0:00,,1.4,130.3,16
9/22/2012 0:00,,2,112.1,19
9/23/2012 0:00,,2.2,170.6,23
9/24/2012 0:00,,2.4,203.4,13
9/25/2012 0:00,,2.5,250.4,18
9/26/2012 0:00,,2.3,198.7,22
9/27/2012 0:00,,2.6,138.8,16
9/28/2012 0:00,,2.5,116.9,9
9/29/2012 0:00,,1.2,173.1,4
9/30/2012 0:00,,1.4,179.2,6
10/1/2012 0:00,,1.9,130.8,11
10/2/2012 0:00,,3.4,215.5,17
10/3/2012 0:00,,3.4,279.5,15
10/4/2012 0:00,,2.6,241.1,17
10/5/2012 0:00,,4.3,262.1,14
10/6/2012 0:00,,3.6,245.2,18
10/7/2012 0:00,,4.4,150.6,31
10/8/2012 0:00,,2.7,215.9,13
10/9/2012 0:00,,2.8,246,16
10/10/2012 0:00,,2.3,146,25
10/11/2012 0:00,,2.1,205.5,19
10/12/2012 0:00,,4.1,228.1,30
10/13/2012 0:00,,3.2,271.4,8
10/14/2012 0:00,,2.8,100.6,11
10/15/2012 0:00,,1.4,160.3,20
10/16/2012 0:00,,2.2,209.4,17
10/17/2012 0:00,,4,269.3,17
10/18/2012 0:00,,1.8,283.5,18
10/19/2012 0:00,,1.6,142.8,15
10/20/2012 0:00,,2.5,257.5,18
10/21/2012 0:00,,5.1,250.6,29
10/22/2012 0:00,,3.1,231.6,6
10/23/2012 0:00,,2.4,219.9,9
10/24/2012 0:00,,3.2,241.2,11
10/25/2012 0:00,,2.8,203.1,22
10/26/2012 0:00,,3.6,129.9,31
10/27/2012 0:00,,1.9,150.1,20
10/28/2012 0:00,,1.1,152.6,21
10/29/2012 0:00,,1.1,205.6,16
10/30/2012 0:00,,1.6,316,14
10/31/2012 0:00,,1.1,113.2,19
11/1/2012 0:00,,1.4,167.3,22
11/2/2012 0:00,,1.4,164.5,24
11/3/2012 0:00,,1.3,226.3,24
11/4/2012 0:00,,1.5,105.5,16
11/5/2012 0:00,,1.5,122.1,17
11/6/2012 0:00,,1,107.9,20
11/7/2012 0:00,,1.4,214.9,16
11/8/2012 0:00,,2.8,219.1,19
11/9/2012 0:00,,3,228.5,17
11/10/2012 0:00,,6.9,249.1,45
11/11/2012 0:00,,3.7,313.2,10
11/12/2012 0:00,,1.3,56.4,12
11/13/2012 0:00,,1.1,57,17
11/14/2012 0:00,,1.4,57.2,25
11/15/2012 0:00,,1,86.5,28
11/16/2012 0:00,,1.7,157.1,35
11/17/2012 0:00,,1.5,172.3,40
11/18/2012 0:00,,2.1,225.4,14
11/19/2012 0:00,,1.1,4.2,5
11/20/2012 0:00,,1.2,84.5,10
11/21/2012 0:00,,1.3,151.5,24
11/22/2012 0:00,,1,181.2,12
11/23/2012 0:00,,2.7,141.5,18
11/24/2012 0:00,,1.4,185.8,22
11/25/2012 0:00,,1.9,207.6,19
11/26/2012 0:00,,1.9,198.9,17
11/27/2012 0:00,,1.7,159.9,46
11/28/2012 0:00,,1.2,99.2,37
11/29/2012 0:00,,2.3,245.6,18
11/30/2012 0:00,,2,210.1,14
12/1/2012 0:00,,2,215.7,14
12/2/2012 0:00,,2,226.1,14
12/3/2012 0:00,,5.1,254.4,16
12/4/2012 0:00,,1.9,30.3,14
12/5/2012 0:00,,1.5,157.2,19
12/6/2012 0:00,,2.4,220.1,19
12/7/2012 0:00,,4.1,249.5,14
12/8/2012 0:00,,5.1,249.9,10
12/9/2012 0:00,,6.6,270.8,58
12/10/2012 0:00,,2,340,15
12/11/2012 0:00,,2,48.3,14
12/12/2012 0:00,,1.6,192.8,16
12/13/2012 0:00,,1.7,129.2,45
12/14/2012 0:00,,4.8,241.1,14
12/15/2012 0:00,,2,232.6,4
12/16/2012 0:00,,5.2,249.4,9
12/17/2012 0:00,,3,229.9,3
12/18/2012 0:00,,2.6,209.4,4
12/19/2012 0:00,,7.4,272.7,352
12/20/2012 0:00,,1.9,37.1,10
12/21/2012 0:00,,1.6,60.8,20
12/22/2012 0:00,,1.5,99.5,20
12/23/2012 0:00,,2,277.8,18
12/24/2012 0:00,,4.2,239.5,19
12/25/2012 0:00,,2.6,340.9,3
12/26/2012 0:00,,3.2,164.6,22
12/27/2012 0:00,,4.3,256.1,9
12/28/2012 0:00,,1.6,293.4,5
12/29/2012 0:00,,1.9,105,8
12/30/2012 0:00,,1.5,151,22
12/31/2012 0:00,,5.2,248.8,2
1/1/2013 0:00,,1.3,257.6,3
1/2/2013 0:00,,1.9,17.7,5
1/3/2013 0:00,,1.3,313.4,8
1/4/2013 0:00,,1.5,212.5,3
1/5/2013 0:00,,1.1,264.3,4
1/6/2013 0:00,,1.3,89.6,7
1/7/2013 0:00,,1.3,16.1,6
1/8/2013 0:00,,2.6,359.7,8
1/9/2013 0:00,,3.3,351,10
1/10/2013 0:00,,1.9,170.4,11
1/11/2013 0:00,,6.4,262.2,39
1/12/2013 0:00,,3.8,264.7,8
1/13/2013 0:00,,1.4,185.5,9
1/14/2013 0:00,,3.1,225.4,8
1/15/2013 0:00,,3.6,348.7,6
1/16/2013 0:00,,1.8,346.7,9
1/17/2013 0:00,,2.4,95.7,14
1/18/2013 0:00,,0.9,158,12
1/19/2013 0:00,,1.9,20.9,12
1/20/2013 0:00,,1.8,40,10
1/21/2013 0:00,,1.4,76.5,17
1/22/2013 0:00,,1.9,10.9,15
1/23/2013 0:00,,1.5,124.7,17
1/24/2013 0:00,,1.5,135.5,19
1/25/2013 0:00,,1.4,196,21
1/26/2013 0:00,,2.5,222.2,16
1/27/2013 0:00,,3.2,246.5,3
1/28/2013 0:00,,5.3,238.2,15
1/29/2013 0:00,,9.3,271.6,162
1/30/2013 0:00,,3.5,294.8,5
1/31/2013 0:00,,1.3,326.6,8
2/1/2013 0:00,,1.5,270.7,7
2/2/2013 0:00,,1.1,115.1,11
2/3/2013 0:00,,1.2,114.3,13
2/4/2013 0:00,,2.1,291.2,8
2/5/2013 0:00,,1.8,288.4,9
2/6/2013 0:00,,2.8,239.1,12
2/7/2013 0:00,,2.4,249.6,12
