date,temp,ws,wd,pm10
1/1/2012 0:00,,1,111.2,8
1/1/2012 1:00,,0.3,197.4,4
1/1/2012 2:00,,1.8,51.3,5
1/1/2012 3:00,,2.1,118.5,10
1/1/2012 4:00,,1,194.2,7
1/1/2012 5:00,,1.3,110.2,15
1/1/2012 6:00,,2.1,193.7,10
1/1/2012 7:00,,2.6,129.8,17
1/1/2012 8:00,,3.4,124.1,22
1/1/2012 9:00,,1.9,106.4,24
1/1/2012 10:00,,2.1,75.4,21
1/1/2012 11:00,,0.9,42.8,14
1/1/2012 12:00,,1.9,100.4,12
1/1/2012 13:00,,1.2,121.9,10
1/1/2012 14:00,,2,150.2,8
1/1/2012 15:00,,2.8,141.2,15
1/1/2012 16:00,,2.6,155.7,18
1/1/2012 17:00,,2.7,176.8,16
1/1/2012 18:00,,2.2,188.8,12
1/1/2012 19:00,,1.6,158.4,13
1/1/2012 20:00,,1.5,232.7,13
1/1/2012 21:00,,2.9,268.9,16
1/1/2012 22:00,,0.2,66.9,18
1/1/2012 23:00,,0.5,164.3,12
1/2/2012 0:00,,0.5,13.4,15
1/2/2012 1:00,,0.4,10.9,12
1/2/2012 2:00,,0.2,121.9,11
1/2/2012 3:00,,1.5,210.7,14
1/2/2012 4:00,,2.8,203.1,11
1/2/2012 5:00,,1,185.3,9
1/2/2012 6:00,,0.7,50.5,15
1/2/2012 7:00,,0.7,12.9,18
1/2/2012 8:00,,0.7,59.3,14
1/2/2012 9:00,,0.6,86.2,18
1/2/2012 10:00,,0.9,99.7,10
1/2/2012 11:00,,1.8,104.3,14
1/2/2012 12:00,,2.9,102.4,7
1/2/2012 13:00,,2.7,129.1,9
1/2/2012 14:00,,2.5,130,11
1/2/2012 15:00,,2.2,129.4,14
1/2/2012 16:00,,2.2,150.5,16
1/2/2012 17:00,,2.1,181.9,16
1/2/2012 18:00,,1.9,215.9,24
1/2/2012 19:00,,2.1,206.3,21
1/2/2012 20:00,,1.1,194.7,13
1/2/2012 21:00,,2.1,246.9,13
1/2/2012 22:00,,1.8,254.3,15
1/2/2012 23:00,,0.4,27.5,13
1/3/2012 0:00,,0.3,0,15
1/3/2012 1:00,,0.8,5.9,15
1/3/2012 2:00,,0.1,205.2,9
1/3/2012 3:00,,0.6,54.5,12
1/3/2012 4:00,,1.4,31,14
1/3/2012 5:00,,0.2,164.4,10
1/3/2012 6:00,,0.6,166.5,7
1/3/2012 7:00,,0.4,155.4,14
1/3/2012 8:00,,0.6,140.8,13
1/3/2012 9:00,,0.5,68.3,17
1/3/2012 10:00,,0.7,35.1,18
1/3/2012 11:00,,0.5,54.8,8
1/3/2012 12:00,,0.4,216,12
1/3/2012 13:00,,0.8,163.8,8
1/3/2012 14:00,,1.5,115.7,13
1/3/2012 15:00,,1.6,106.4,17
1/3/2012 16:00,,1.9,99.4,23
1/3/2012 17:00,,0.3,136.1,33
1/3/2012 18:00,,1.1,286.3,30
1/3/2012 19:00,,2,301.2,31
1/3/2012 20:00,,0.5,4.9,22
1/3/2012 21:00,,1.1,284.3,24
1/3/2012 22:00,,2,272.6,22
1/3/2012 23:00,,1.1,301.4,19
1/4/2012 0:00,,0.4,220.6,19
1/4/2012 1:00,,0.2,68.6,19
1/4/2012 2:00,,0.6,338.2,14
1/4/2012 3:00,,2.3,358,18
1/4/2012 4:00,,3.2,19.8,13
1/4/2012 5:00,,3.9,353.3,7
1/4/2012 6:00,,2.8,25.5,13
1/4/2012 7:00,,1.6,111.5,14
1/4/2012 8:00,,0.4,268,11
1/4/2012 9:00,,1.9,39.2,16
1/4/2012 10:00,,3,19.8,9
1/4/2012 11:00,,3.4,18.4,2
1/4/2012 12:00,,2.2,10.8,0
1/4/2012 13:00,,1.2,13.8,4
1/4/2012 14:00,,3,4.5,8
1/4/2012 15:00,,3,349,8
1/4/2012 16:00,,2.9,356,11
1/4/2012 17:00,,2.4,317.8,14
1/4/2012 18:00,,2.3,324.5,34
1/4/2012 19:00,,1.8,37.5,15
1/4/2012 20:00,,1.6,59.9,12
1/4/2012 21:00,,2.3,18.4,16
1/4/2012 22:00,,2.8,349,6
1/4/2012 23:00,,2.9,8.4,6
1/5/2012 0:00,,0.4,17.4,7
1/5/2012 1:00,,2.3,262.2,5
1/5/2012 2:00,,0.7,290.8,6
1/5/2012 3:00,,0.7,301.5,7
1/5/2012 4:00,,0.4,346.2,7
1/5/2012 5:00,,1.6,35,8
1/5/2012 6:00,,2.1,38.1,7
1/5/2012 7:00,,2.2,24.4,6
1/5/2012 8:00,,1.6,54.8,11
1/5/2012 9:00,,1.9,24.7,18
1/5/2012 10:00,,0.8,25.4,25
1/5/2012 11:00,,0.7,126.2,14
1/5/2012 12:00,,1.1,85.8,2
1/5/2012 13:00,,1.1,234.5,0
1/5/2012 14:00,,2.8,249.2,-1
1/5/2012 15:00,,3.8,252.3,2
1/5/2012 16:00,,3.9,255.6,6
1/5/2012 17:00,,3,235.1,13
1/5/2012 18:00,,3.3,230.2,17
1/5/2012 19:00,,3.7,229.7,5
1/5/2012 20:00,,3.1,230.2,4
1/5/2012 21:00,,2.9,233.8,6
1/5/2012 22:00,,1.2,253.7,7
1/5/2012 23:00,,0.7,284.9,6
1/6/2012 0:00,,0.8,289.9,5
1/6/2012 1:00,,0.8,283.5,6
1/6/2012 2:00,,1.2,242.7,8
1/6/2012 3:00,,2,221.5,7
1/6/2012 4:00,,0.3,189.8,9
1/6/2012 5:00,,0.1,191.8,8
1/6/2012 6:00,,0.6,220.7,10
1/6/2012 7:00,,0.3,21.1,12
1/6/2012 8:00,,0.3,38.6,14
1/6/2012 9:00,,0.7,56.8,14
1/6/2012 10:00,,1,53.8,16
1/6/2012 11:00,,1.1,71.8,15
1/6/2012 12:00,,0.9,72.4,16
1/6/2012 13:00,,1.7,65.5,9
1/6/2012 14:00,,1.8,75.3,13
1/6/2012 15:00,,1.9,71,19
1/6/2012 16:00,,1.1,88.3,20
1/6/2012 17:00,,0.2,213.2,25
1/6/2012 18:00,,1,246.6,34
1/6/2012 19:00,,0.1,72.2,32
1/6/2012 20:00,,1.8,262.3,18
1/6/2012 21:00,,1.3,27.7,21
1/6/2012 22:00,,1.4,25.7,16
1/6/2012 23:00,,0.1,63.4,17
1/7/2012 0:00,,1.7,256.6,13
1/7/2012 1:00,,1.9,256.8,12
1/7/2012 2:00,,1.4,83.6,14
1/7/2012 3:00,,1.2,321.4,10
1/7/2012 4:00,,1,343,9
1/7/2012 5:00,,1.1,218.8,6
1/7/2012 6:00,,0.9,187.5,7
1/7/2012 7:00,,3.3,226.2,15
1/7/2012 8:00,,2.6,221.9,10
1/7/2012 9:00,,1.7,187.4,11
1/7/2012 10:00,,1.8,162.8,17
1/7/2012 11:00,,2.7,193.1,-1
1/7/2012 12:00,,3.3,207.4,-1
1/7/2012 13:00,,4.8,223.8,2
1/7/2012 14:00,,6.2,240.2,7
1/7/2012 15:00,,6.1,237,8
1/7/2012 16:00,,3.5,225.1,8
1/7/2012 17:00,,2.3,207.6,11
1/7/2012 18:00,,3,240.3,23
1/7/2012 19:00,,3.8,241.4,18
1/7/2012 20:00,,1.2,227,9
1/7/2012 21:00,,3.4,242.1,8
1/7/2012 22:00,,3.5,248,10
1/7/2012 23:00,,3.3,241.2,8
1/8/2012 0:00,,2,241.2,8
1/8/2012 1:00,,0.4,234,9
1/8/2012 2:00,,0.9,251.2,10
1/8/2012 3:00,,2.6,274.8,9
1/8/2012 4:00,,1.7,234.5,8
1/8/2012 5:00,,2.3,233.4,9
1/8/2012 6:00,,1.4,215.7,9
1/8/2012 7:00,,1.5,193.6,11
1/8/2012 8:00,,0.9,191.6,14
1/8/2012 9:00,,0.6,97.7,19
1/8/2012 10:00,,1.3,116,21
1/8/2012 11:00,,2.3,228.7,5
1/8/2012 12:00,,1.5,218.4,4
1/8/2012 13:00,,1.2,262.5,4
1/8/2012 14:00,,4.6,245.8,42
1/8/2012 15:00,,3.2,338.9,27
1/8/2012 16:00,,2.2,319.5,14
1/8/2012 17:00,,3.5,94.6,9
1/8/2012 18:00,,6.1,80.4,6
1/8/2012 19:00,,6.4,72.2,7
1/8/2012 20:00,,4.2,78.8,12
1/8/2012 21:00,,2.9,139.6,2
1/8/2012 22:00,,1.7,197.8,3
1/8/2012 23:00,,2.2,245.2,4
1/9/2012 0:00,,2.2,14.6,2
1/9/2012 1:00,,2.7,8.5,-1
1/9/2012 2:00,,3.9,0.9,5
1/9/2012 3:00,,3.9,356.2,6
1/9/2012 4:00,,3.5,8.2,7
1/9/2012 5:00,,3.4,359.7,7
1/9/2012 6:00,,3,6.8,10
