date,temp,ws,wd,pm10
1/1/2012 0:00,6.9,2.5,106,14
1/2/2012 0:00,4.4,2.1,35.7,11
1/3/2012 0:00,5.4,1.9,311.5,18
1/4/2012 0:00,8.3,2.4,63.9,19
1/5/2012 0:00,7,2.3,287.8,14
1/6/2012 0:00,8.1,2.7,294.4,22
1/7/2012 0:00,9,2.6,217.8,21
1/8/2012 0:00,8.4,2.8,328.5,14
1/9/2012 0:00,2.5,2.3,14.4,9
1/10/2012 0:00,4.1,2.1,246.6,12
1/11/2012 0:00,8.5,3.4,312.6,9
1/12/2012 0:00,1.5,2.1,119,15
1/13/2012 0:00,2.8,1.6,325.3,10
1/14/2012 0:00,4,0.9,179.2,17
1/15/2012 0:00,8.9,1.5,203.5,17
1/16/2012 0:00,12,4.9,259,36
1/17/2012 0:00,9.9,3,249.4,6
1/18/2012 0:00,10.9,3.7,265.2,7
1/19/2012 0:00,13.3,3.5,251.1,14
1/20/2012 0:00,14.1,5.2,273.1,12
1/21/2012 0:00,13.5,4.5,234.9,98
1/22/2012 0:00,10.7,6.5,283.5,96
1/23/2012 0:00,8.9,1.6,240.9,35
1/24/2012 0:00,8.3,3.4,295.7,19
1/25/2012 0:00,7.5,2.9,337.6,5
1/26/2012 0:00,8.6,1.9,267.6,13
1/27/2012 0:00,10.8,3.8,328.1,14
1/28/2012 0:00,7.1,3.3,115,32
1/29/2012 0:00,5.4,1.4,309.1,19
1/30/2012 0:00,7.7,1.5,275.4,22
1/31/2012 0:00,12,2.6,273.6,29
2/1/2012 0:00,9.9,1.9,9.9,17
2/2/2012 0:00,10.7,2.5,246.6,26
2/3/2012 0:00,7.5,1.7,317.2,16
2/4/2012 0:00,6.2,5.3,81.6,25
2/5/2012 0:00,3.9,3.3,102.3,14
2/6/2012 0:00,5.3,1.9,114.6,28
2/7/2012 0:00,6.9,2.7,58.6,21
2/8/2012 0:00,5.3,2.1,49.3,28
2/9/2012 0:00,8.7,2.6,301.4,31
2/10/2012 0:00,7.9,1.7,182.6,35
2/11/2012 0:00,6.5,3.4,98.2,45
2/12/2012 0:00,3.7,2.9,132.4,15
2/13/2012 0:00,10.1,4.2,271.4,21
2/14/2012 0:00,10.2,4.6,278.9,106
2/15/2012 0:00,6.6,3.8,271.8,15
2/16/2012 0:00,7.2,4.2,61.8,32
2/17/2012 0:00,5.6,3.1,311.4,10
2/18/2012 0:00,7.2,2.4,272.2,5
2/19/2012 0:00,9.2,4.3,217,21
2/20/2012 0:00,9.4,5.2,287.5,10
2/21/2012 0:00,9.6,2.1,292.6,14
2/22/2012 0:00,13.4,5.2,271.4,12
2/23/2012 0:00,15.3,6.9,275.5,43
2/24/2012 0:00,6.7,2.2,102.6,80
2/25/2012 0:00,9.5,2.7,154,37
2/26/2012 0:00,13.3,2.1,213.7,30
2/27/2012 0:00,13.8,3.2,71,34
2/28/2012 0:00,13,7.2,258.1,183
2/29/2012 0:00,10.5,2.6,250.9,21
3/1/2012 0:00,12.5,4.1,263.6,50
3/2/2012 0:00,10.3,7.5,301.7,221
3/3/2012 0:00,5.8,2.9,332.8,15
