date,temp,ws,wd,pm10
1/1/2012 0:00,4.3,1.1,0.1,4
1/1/2012 1:00,4,0.5,56.3,7
1/1/2012 2:00,5.6,3,72.4,5
1/1/2012 3:00,5.9,1.2,149.1,3
1/1/2012 4:00,4.2,3.2,170.2,9
1/1/2012 5:00,3.6,3.1,161,20
1/1/2012 6:00,3,4,168,24
1/1/2012 7:00,3.1,4.5,165.2,26
1/1/2012 8:00,4.8,5,158.3,27
1/1/2012 9:00,6.1,3.8,155.4,27
1/1/2012 10:00,8,3.4,131.8,16
1/1/2012 11:00,9,2.7,105.2,18
1/1/2012 12:00,9.9,2.4,77.1,14
1/1/2012 13:00,10.9,2.3,82.9,13
1/1/2012 14:00,11.6,2.3,111.2,12
1/1/2012 15:00,12.3,2.2,118.5,12
1/1/2012 16:00,12.4,1.6,115.5,14
1/1/2012 17:00,11.6,1.2,95.8,14
1/1/2012 18:00,8.7,2.1,113.8,24
1/1/2012 19:00,6.5,0.5,141,20
1/1/2012 20:00,6.2,0.9,24.5,15
1/1/2012 21:00,5.1,3.3,6.7,18
1/1/2012 22:00,5.5,2.7,7.7,10
1/1/2012 23:00,3.8,3.7,19.9,4
1/2/2012 0:00,0.4,2.6,9.9,9
1/2/2012 1:00,-0.3,1.4,351.3,9
1/2/2012 2:00,-0.9,1.1,342.6,7
1/2/2012 3:00,-1.7,1,316,12
1/2/2012 4:00,-2,2,339.8,10
1/2/2012 5:00,-1.7,3.8,11.3,10
1/2/2012 6:00,-2.3,2.9,21.1,11
1/2/2012 7:00,-1.6,2.5,25.6,15
1/2/2012 8:00,1.6,2.3,35.8,12
1/2/2012 9:00,4.8,2.3,72.2,8
1/2/2012 10:00,6.7,1.9,85.4,10
1/2/2012 11:00,8.6,2,116.6,10
1/2/2012 12:00,10.2,2.7,98.2,7
1/2/2012 13:00,11.4,2.7,127.1,10
1/2/2012 14:00,12.1,2.5,114.3,11
1/2/2012 15:00,12.5,2.8,109.5,11
1/2/2012 16:00,12.3,2.2,87.2,14
1/2/2012 17:00,10.7,2.1,69.5,14
1/2/2012 18:00,7.7,2.1,60.8,18
1/2/2012 19:00,5.8,2.1,22.8,19
1/2/2012 20:00,3.8,1.8,339,15
1/2/2012 21:00,3,2.2,346.4,10
1/2/2012 22:00,2.7,2.1,4.6,8
1/2/2012 23:00,2.2,1.5,306.6,8
1/3/2012 0:00,1.5,0.6,330.9,10
1/3/2012 1:00,0.2,1.7,319,5
1/3/2012 2:00,0,2.7,312.1,6
1/3/2012 3:00,-1.2,2.6,341.6,6
1/3/2012 4:00,-2.7,1.9,341.9,7
1/3/2012 5:00,-2,1.6,309,12
1/3/2012 6:00,-1.6,1.5,311.5,11
1/3/2012 7:00,-1.7,1.3,321.7,16
1/3/2012 8:00,0,1.8,334,15
1/3/2012 9:00,3.9,1.5,345.2,11
1/3/2012 10:00,7.4,0.6,25.8,7
1/3/2012 11:00,9.5,0.7,215.9,10
1/3/2012 12:00,11.3,0.6,210.7,14
1/3/2012 13:00,12.8,3.9,285.3,
1/3/2012 14:00,13.8,3.9,283.4,33
1/3/2012 15:00,14.3,1.1,212.9,35
1/3/2012 16:00,13.6,2.3,260.8,29
1/3/2012 17:00,11.9,1.6,297.1,33
1/3/2012 18:00,10.2,2,298.3,29
1/3/2012 19:00,7.5,3,319.3,33
1/3/2012 20:00,7.9,2.7,283.6,39
1/3/2012 21:00,5.5,1.9,0.2,34
1/3/2012 22:00,5,2.2,353.3,24
1/3/2012 23:00,3.3,2.5,344.5,12
1/4/2012 0:00,3,2.9,352.6,11
1/4/2012 1:00,3.8,2.9,333.5,10
1/4/2012 2:00,3,2.9,346.5,12
1/4/2012 3:00,2.9,2.6,285.3,18
1/4/2012 4:00,1,2.6,10.5,17
1/4/2012 5:00,0,0.7,287.9,13
1/4/2012 6:00,0.3,0.3,282.8,19
1/4/2012 7:00,2.3,1.9,300.1,22
1/4/2012 8:00,4.2,0.5,249.6,23
1/4/2012 9:00,8.9,2.2,27.9,13
1/4/2012 10:00,11.5,3.6,18.2,6
1/4/2012 11:00,13.9,2.1,54.4,2
