date,temp,ws,wd,pm10
1/1/2012 0:00,6.6,1.7,48.9,17
1/2/2012 0:00,4.5,1.6,26.1,19
1/3/2012 0:00,6.2,1.6,10.8,23
1/4/2012 0:00,7,3.2,11.1,11
1/5/2012 0:00,7.2,3.1,108.5,10
1/6/2012 0:00,8.2,1.8,76.4,22
1/7/2012 0:00,9.1,3.7,163.6,15
1/8/2012 0:00,7.4,2.9,158,11
1/9/2012 0:00,2.7,2.5,319.5,7
1/10/2012 0:00,3.5,1.9,153.8,7
1/11/2012 0:00,6.9,1.7,171.2,9
1/12/2012 0:00,2,1.9,203.3,12
1/13/2012 0:00,2.6,2.2,14.5,11
1/14/2012 0:00,4.4,2.3,45.3,14
1/15/2012 0:00,9.7,3.2,162.2,16
1/16/2012 0:00,10.5,5.3,201.2,65
1/17/2012 0:00,10,3.8,186.7,5
1/18/2012 0:00,9.3,3.8,179,6
1/19/2012 0:00,11.2,4.1,178.6,10
1/20/2012 0:00,13.2,5.8,185.5,14
1/21/2012 0:00,11.7,4.6,184.2,13
1/22/2012 0:00,9.8,4.8,226.7,44
1/23/2012 0:00,9,2.8,157.8,29
1/24/2012 0:00,7.3,2.4,113.8,14
1/25/2012 0:00,6.7,4,352.1,4
1/26/2012 0:00,7.9,3.4,124.1,5
1/27/2012 0:00,11.8,3.6,81.6,9
1/28/2012 0:00,8.3,2.7,121.2,22
1/29/2012 0:00,6.1,2.2,19.7,23
1/30/2012 0:00,8.7,2.4,154.2,18
1/31/2012 0:00,11.7,3.6,178.5,26
2/1/2012 0:00,9.4,2.7,85.4,21
2/2/2012 0:00,10.2,3.1,207.7,21
2/3/2012 0:00,7.1,2.2,74.4,17
2/4/2012 0:00,4.4,4.9,55.8,30
2/5/2012 0:00,5.5,5.7,96.2,17
2/6/2012 0:00,5.8,2.5,175.5,14
2/7/2012 0:00,,,,
2/8/2012 0:00,,,,
2/9/2012 0:00,8.6,2.5,38,29
2/10/2012 0:00,7.3,2.4,185.5,19
2/11/2012 0:00,8.7,4.6,81.3,71
2/12/2012 0:00,,,,
2/13/2012 0:00,,,,
2/14/2012 0:00,,,,
2/15/2012 0:00,6.5,3,175,18
2/16/2012 0:00,9.4,4.4,96.9,40
2/17/2012 0:00,5.1,2.8,336.2,11
2/18/2012 0:00,5.9,2.8,358.8,5
2/19/2012 0:00,8.9,4.3,196.8,15
2/20/2012 0:00,9,3,212.2,14
2/21/2012 0:00,9,3.3,228.5,11
2/22/2012 0:00,12.7,4.1,208.3,16
2/23/2012 0:00,14.1,6.8,195.6,47
2/24/2012 0:00,7.5,2.3,151.4,52
2/25/2012 0:00,9.8,3.2,150,35
2/26/2012 0:00,13.6,3.5,189.1,31
2/27/2012 0:00,12.9,4.3,133.2,26
2/28/2012 0:00,10.9,6.4,219.7,192
2/29/2012 0:00,8.8,3.2,152.3,16
3/1/2012 0:00,12.3,5.3,194.5,72
