date,temp,ws,wd,pm10
1/1/2012 0:00,2.9,5.1,2.5,5
1/1/2012 1:00,1.5,5.5,9.2,4
1/1/2012 2:00,1.3,4.2,8.3,5
1/1/2012 3:00,2.4,4,358.8,9
1/1/2012 4:00,2.2,1.8,16.8,12
1/1/2012 5:00,2.7,1.2,160.7,9
1/1/2012 6:00,3.3,1.1,181.8,8
1/1/2012 7:00,4.7,1.4,103,13
1/1/2012 8:00,5.2,1.1,212.4,13
1/1/2012 9:00,6.2,1.6,257.7,14
1/1/2012 10:00,7.8,1.6,8.5,12
1/1/2012 11:00,10,2.3,51.7,14
1/1/2012 12:00,11.5,0.4,49.8,13
1/1/2012 13:00,12.5,1.3,218,13
1/1/2012 14:00,13.4,0.8,232.5,16
1/1/2012 15:00,14,0.9,250.7,14
1/1/2012 16:00,13,0.5,54.1,18
1/1/2012 17:00,10.3,1,75.6,23
1/1/2012 18:00,9.2,0.4,85.3,48
1/1/2012 19:00,9.3,1.1,96.5,65
1/1/2012 20:00,7.3,2,114.8,37
1/1/2012 21:00,5.2,1,86.8,27
1/1/2012 22:00,1.9,0.1,355,16
1/1/2012 23:00,2.3,1,2.6,21
1/2/2012 0:00,0.7,0.7,21.7,10
1/2/2012 1:00,0,2,1.6,12
1/2/2012 2:00,-1.4,1.5,351.4,9
1/2/2012 3:00,-1.7,2.2,352.1,9
1/2/2012 4:00,-1.9,2,16.1,6
1/2/2012 5:00,-1.6,1.8,17.6,9
1/2/2012 6:00,-1.6,1.7,16.6,10
1/2/2012 7:00,-1.3,2,16,12
1/2/2012 8:00,-0.6,1.7,3.4,12
1/2/2012 9:00,2.5,1.4,339.2,12
1/2/2012 10:00,5.8,0.5,288.4,8
1/2/2012 11:00,8.2,1.3,238.3,10
1/2/2012 12:00,9.9,1.5,240.6,11
1/2/2012 13:00,11,0.6,211.9,12
1/2/2012 14:00,12,1,260.4,15
1/2/2012 15:00,12.2,2.8,54.3,14
1/2/2012 16:00,11.6,3.1,64.3,15
1/2/2012 17:00,9.8,2.4,87.5,36
1/2/2012 18:00,9.1,1.7,128.4,62
1/2/2012 19:00,8.4,3.3,121.9,65
1/2/2012 20:00,7.1,2.1,92.8,39
1/2/2012 21:00,3.9,0.4,65.1,26
1/2/2012 22:00,3.8,1.1,83.8,34
1/2/2012 23:00,3.9,0.4,30.4,26
1/3/2012 0:00,2.8,0.9,47.3,18
1/3/2012 1:00,2.7,1.4,35,12
1/3/2012 2:00,3,1.9,34.1,10
1/3/2012 3:00,2.6,1.8,40.3,12
1/3/2012 4:00,1.1,1.9,24.6,10
1/3/2012 5:00,0.6,1.7,13.7,10
1/3/2012 6:00,-0.3,3,14.3,11
1/3/2012 7:00,-1.1,1.8,358.3,11
1/3/2012 8:00,-0.2,2.1,16.4,12
1/3/2012 9:00,2.5,1.7,346.3,11
1/3/2012 10:00,6.1,1.8,344,10
1/3/2012 11:00,8.7,1.5,327.9,9
1/3/2012 12:00,10.9,0.9,281.6,10
1/3/2012 13:00,12.3,0.6,249.7,16
1/3/2012 14:00,13.3,0.3,209.6,19
1/3/2012 15:00,13.9,1,263.5,Span
1/3/2012 16:00,13.5,1.4,239.1,25
1/3/2012 17:00,12.2,0.2,350.4,38
1/3/2012 18:00,9,3,79.4,137
1/3/2012 19:00,7.4,2.3,57.5,55
1/3/2012 20:00,7.3,1.7,76.7,29
1/3/2012 21:00,9,3.2,62.5,41
1/3/2012 22:00,7.2,1.8,20.9,18
1/3/2012 23:00,5.8,2.3,17.7,17
1/4/2012 0:00,4.2,3.4,18,13
1/4/2012 1:00,3.1,2.9,8,13
1/4/2012 2:00,1.9,2.8,353.8,14
1/4/2012 3:00,-0.2,3.6,13.1,12
1/4/2012 4:00,0.8,3.4,5.5,11
1/4/2012 5:00,-0.8,3.4,3.6,10
1/4/2012 6:00,-0.4,2.6,349,10
1/4/2012 7:00,-0.4,2.9,9.4,11
1/4/2012 8:00,1.5,3.7,6.6,11
1/4/2012 9:00,3.9,4.7,346.4,11
1/4/2012 10:00,9.1,5.6,346,6
1/4/2012 11:00,12.8,4.5,330.3,2
1/4/2012 12:00,14.6,3.9,336.3,5
1/4/2012 13:00,15.8,3.2,35.4,1
1/4/2012 14:00,16.2,3,64.4,9
1/4/2012 15:00,15.9,3.5,333.2,9
1/4/2012 16:00,14.8,4.1,331.9,9
1/4/2012 17:00,12.2,3.5,4.9,10
1/4/2012 18:00,10.4,0.8,28.1,11
1/4/2012 19:00,9.3,1,45.1,30
1/4/2012 20:00,8.4,1.8,50.6,35
1/4/2012 21:00,6.4,2.4,43.4,22
1/4/2012 22:00,5.2,3.5,39.2,12
1/4/2012 23:00,4.6,4,51.7,6
1/5/2012 0:00,5.4,2.7,47.9,6
1/5/2012 1:00,4.7,2.1,23.5,9
1/5/2012 2:00,3.8,4.1,51.8,6
1/5/2012 3:00,4,3.7,33.4,4
1/5/2012 4:00,1.1,2.6,30.3,6
1/5/2012 5:00,0.3,2.9,28.6,6
1/5/2012 6:00,0.1,3.5,43.4,8
1/5/2012 7:00,0,3.3,33.1,7
1/5/2012 8:00,0.8,3.3,17.9,7
1/5/2012 9:00,3,2.6,347.9,8
1/5/2012 10:00,5.9,1.5,358.3,6
1/5/2012 11:00,9.5,0.8,255.5,8
1/5/2012 12:00,12.3,0.8,238.4,3
1/5/2012 13:00,13.3,1.6,213.1,9
1/5/2012 14:00,13.9,2.2,207.8,18
1/5/2012 15:00,14.5,3.5,210.9,20
1/5/2012 16:00,14.3,4,210,7
1/5/2012 17:00,12.6,3.4,195.7,13
1/5/2012 18:00,10.2,3.9,152.9,33
1/5/2012 19:00,8.7,4.2,135.7,32
1/5/2012 20:00,9.4,4.5,154,13
1/5/2012 21:00,8.9,4.9,150.3,13
1/5/2012 22:00,9.1,4.7,159.5,8
1/5/2012 23:00,8.2,4.3,159.4,8
1/6/2012 0:00,7.2,3.5,138,8
1/6/2012 1:00,5.8,2.4,146,7
1/6/2012 2:00,6.4,3.2,143.7,7
1/6/2012 3:00,7.6,3.7,146.4,9
1/6/2012 4:00,0.8,1.7,353.3,9
1/6/2012 5:00,2.6,2.1,70.9,12
1/6/2012 6:00,4.1,1.7,99.9,25
1/6/2012 7:00,-0.1,2,18.8,19
1/6/2012 8:00,1.6,1.6,1.5,11
1/6/2012 9:00,5,0.4,325.9,8
1/6/2012 10:00,7.9,1.3,246.3,13
1/6/2012 11:00,10,0.7,244.7,12
1/6/2012 12:00,12.3,0.3,339.3,10
1/6/2012 13:00,13.9,0.6,245.8,11
1/6/2012 14:00,14.5,1,193.9,16
1/6/2012 15:00,15.2,1.1,25.8,13
1/6/2012 16:00,15.4,1.1,59.6,11
1/6/2012 17:00,14.3,1.8,37.8,19
1/6/2012 18:00,10.3,3.4,73.2,58
1/6/2012 19:00,10.6,3.6,120.3,84
1/6/2012 20:00,9.7,2.8,92.2,83
1/6/2012 21:00,8,1.5,47.3,17
1/6/2012 22:00,6.3,0.8,78.2,38
1/6/2012 23:00,9.7,1.6,109.3,39
1/7/2012 0:00,5.6,1.2,64.5,21
1/7/2012 1:00,1.5,2.1,339.7,9
1/7/2012 2:00,3,2.6,82.1,10
1/7/2012 3:00,5,1.3,80.2,13
1/7/2012 4:00,5.3,1.1,95.2,17
1/7/2012 5:00,4.7,1.8,163.1,16
1/7/2012 6:00,4.1,2.7,148.9,14
1/7/2012 7:00,2.1,2.5,178.2,18
1/7/2012 8:00,3.6,3.8,207.2,16
1/7/2012 9:00,7.6,3.6,215.9,15
1/7/2012 10:00,11.5,5.5,196.4,9
1/7/2012 11:00,12.9,5.8,190.3,8
1/7/2012 12:00,13.5,5.1,187.2,11
1/7/2012 13:00,14.4,5.7,182.9,14
1/7/2012 14:00,15.9,5.3,200.2,18
1/7/2012 15:00,16.3,6,219.2,17
1/7/2012 16:00,15.9,4.2,210.8,10
1/7/2012 17:00,13.6,3.6,157.1,34
1/7/2012 18:00,12.2,4.7,145,20
1/7/2012 19:00,11.1,4,142.7,20
1/7/2012 20:00,11.5,4.2,151.7,23
1/7/2012 21:00,10.8,4.1,155.1,20
1/7/2012 22:00,9.1,4.5,154.7,13
1/7/2012 23:00,8.8,4.8,152.3,12
1/8/2012 0:00,8.5,5.5,157.3,10
1/8/2012 1:00,8.6,4.5,154.4,9
1/8/2012 2:00,8.3,4.3,157.5,8
1/8/2012 3:00,8.2,3.8,144.6,10
1/8/2012 4:00,7.9,3.7,151.7,13
1/8/2012 5:00,7.7,3.5,153.8,12
1/8/2012 6:00,7.4,4.1,142.4,17
1/8/2012 7:00,6.7,3.6,137.1,18
1/8/2012 8:00,7.4,1.5,179.3,17
1/8/2012 9:00,10.5,2.8,217,15
1/8/2012 10:00,11.8,4.6,195.3,11
1/8/2012 11:00,11.7,4.3,212.4,12
1/8/2012 12:00,11.7,2.5,236.6,14
1/8/2012 13:00,12.4,1,220.6,17
1/8/2012 14:00,11,2.7,296.4,27
1/8/2012 15:00,6,2.3,306.9,23
1/8/2012 16:00,5.7,2.4,22.5,12
1/8/2012 17:00,4.8,1.9,338.8,8
1/8/2012 18:00,3.3,4,67.8,6
1/8/2012 19:00,3.7,1.7,59.3,7
1/8/2012 20:00,4.2,1.7,88.2,9
1/8/2012 21:00,3.7,2.9,96.1,4
1/8/2012 22:00,3.5,0.3,218.1,2
1/8/2012 23:00,3,2,41.5,4
1/9/2012 0:00,2.2,3,338.4,3
1/9/2012 1:00,2,3.1,339.4,7
1/9/2012 2:00,1.8,3.9,338.7,5
1/9/2012 3:00,1.3,4.1,335.7,6
1/9/2012 4:00,0.4,4.2,335.7,5
1/9/2012 5:00,0.1,3.9,343.2,7
1/9/2012 6:00,0,2.8,347.6,6
1/9/2012 7:00,0.3,1.3,5.8,9
1/9/2012 8:00,0.5,1.5,344.2,8
1/9/2012 9:00,1.7,1,338.3,10
1/9/2012 10:00,3.2,1,342.7,9
1/9/2012 11:00,4.2,1.5,2.6,6
1/9/2012 12:00,4.6,1,336.1,5
1/9/2012 13:00,5.4,0.8,199.8,6
1/9/2012 14:00,5.8,2,194.4,9
1/9/2012 15:00,6.3,2,193,10
1/9/2012 16:00,6.1,2.4,220,11
1/9/2012 17:00,5.5,2.3,171.8,15
1/9/2012 18:00,3.3,3.1,165.2,10
1/9/2012 19:00,2.6,3.2,154.9,6
1/9/2012 20:00,2.6,3.6,140.8,9
1/9/2012 21:00,2.5,3.6,161.2,8
1/9/2012 22:00,2.1,2.9,163.6,7
1/9/2012 23:00,1.7,2.4,124.1,8
1/10/2012 0:00,1,3.1,158.3,8
1/10/2012 1:00,0.2,2.9,165.6,8
1/10/2012 2:00,0,2.9,155.7,7
1/10/2012 3:00,-0.3,2.4,144.4,5
1/10/2012 4:00,-1.2,0.4,60.4,2
1/10/2012 5:00,-1.3,0.3,180,5
1/10/2012 6:00,-1,1.7,120.8,8
1/10/2012 7:00,-4.3,1,331.3,10
1/10/2012 8:00,-4.1,0.9,39.1,10
1/10/2012 9:00,-1,1,55.4,17
1/10/2012 10:00,1.8,0.7,299.4,5
1/10/2012 11:00,3.5,0.6,355.2,0
1/10/2012 12:00,7,0.4,340.8,1
1/10/2012 13:00,8.4,1.6,253.8,4
1/10/2012 14:00,8.6,1.7,237.2,3
1/10/2012 15:00,9.1,2.3,210.1,6
1/10/2012 16:00,9.1,2.5,199.8,11
