date,temp,ws,wd,pm10
1/1/2012 0:00,8.9,4.1,119.2,28
1/2/2012 0:00,7.5,3.3,112.5,23
1/3/2012 0:00,6.5,0.8,265.7,24
1/4/2012 0:00,9.4,1.8,183.2,30
1/5/2012 0:00,7.4,1.3,252.8,15
1/6/2012 0:00,9,1.3,261.9,23
1/7/2012 0:00,9.4,2.4,174.3,41
1/8/2012 0:00,8,2.4,186.8,22
1/9/2012 0:00,3.6,1.8,263.3,9
1/10/2012 0:00,4.9,1.3,253.8,7
1/11/2012 0:00,9.4,1.8,271.2,10
1/12/2012 0:00,3.3,4.5,118.3,27
1/13/2012 0:00,4.3,0.9,274.9,14
1/14/2012 0:00,4.5,0.5,197.1,29
1/15/2012 0:00,9.3,1.6,237,36
1/16/2012 0:00,11.7,2.9,250,57
1/17/2012 0:00,10.3,2,268.2,9
1/18/2012 0:00,9.6,2.8,226.9,11
1/19/2012 0:00,11.4,2.6,235.1,11
1/20/2012 0:00,12.5,2.7,251.9,15
1/21/2012 0:00,13.2,3,244.3,15
1/22/2012 0:00,11.4,4,266.5,57
1/23/2012 0:00,10.1,1.8,216.9,39
1/24/2012 0:00,9.3,2.9,284.2,31
1/25/2012 0:00,7.9,1.7,289.1,8
1/26/2012 0:00,8.6,1.5,223.6,10
1/27/2012 0:00,11.9,1.3,302,25
1/28/2012 0:00,8.9,4.6,100.6,57
1/29/2012 0:00,7,0.6,273.9,27
1/30/2012 0:00,8.8,1.6,245.7,31
1/31/2012 0:00,12.3,2.1,255.2,25
2/1/2012 0:00,10.6,1.1,167.4,33
2/2/2012 0:00,11.9,2.1,242.8,24
2/3/2012 0:00,8.1,1.6,271.1,27
2/4/2012 0:00,7.9,6.1,97.9,50
2/5/2012 0:00,5.7,5.4,103.3,21
2/6/2012 0:00,7.7,2.5,134.5,35
2/7/2012 0:00,8.7,3,66.5,29
2/8/2012 0:00,7.7,4.4,113.7,35
2/9/2012 0:00,9.7,1.7,242.8,29
2/10/2012 0:00,10.2,2.3,176.7,36
2/11/2012 0:00,8.9,5,112.7,158
2/12/2012 0:00,5.3,6.3,115.6,56
2/13/2012 0:00,9.9,2.8,263.2,16
2/14/2012 0:00,10.2,3.2,240.6,114
2/15/2012 0:00,7.8,2.3,245,15
2/16/2012 0:00,10.8,4.8,108.1,42
2/17/2012 0:00,7.1,2.5,229.2,9
2/18/2012 0:00,7.5,1.9,268.3,2
2/19/2012 0:00,9.8,3,211.8,55
2/20/2012 0:00,9.9,2.6,259,9
2/21/2012 0:00,10.1,1.9,267.2,12
2/22/2012 0:00,12.6,3.4,249.1,12
2/23/2012 0:00,14.7,4.3,254.2,34
