date,temp,ws,wd,pm10
1/1/2012 0:00,7.3,0.8,218.9,37
1/1/2012 1:00,8.2,1.3,274.1,9
1/1/2012 2:00,6.9,0.5,224.2,15
1/1/2012 3:00,8.4,4.4,124.2,20
1/1/2012 4:00,7.3,5.2,114.4,112
1/1/2012 5:00,6.6,5.5,100.5,52
1/1/2012 6:00,5.4,4.2,106,29
1/1/2012 7:00,5.1,4.7,109,32
1/1/2012 8:00,5.5,5.9,107,44
1/1/2012 9:00,7,6.1,106.2,36
1/1/2012 10:00,8.7,6.4,103.3,23
1/1/2012 11:00,10.1,5.8,103.9,18
1/1/2012 12:00,11.1,5.3,95.4,17
1/1/2012 13:00,12.1,4.7,100.2,12
1/1/2012 14:00,12.9,4.7,101.9,11
1/1/2012 15:00,13.4,4.4,94.7,11
1/1/2012 16:00,13.5,3.7,93.2,11
1/1/2012 17:00,12.6,3.4,107.3,11
1/1/2012 18:00,11.4,3.3,124.2,20
1/1/2012 19:00,10.1,4.4,130.9,40
1/1/2012 20:00,8.9,4,137.5,35
1/1/2012 21:00,7.9,4,139,36
1/1/2012 22:00,7.1,3.5,140.2,34
1/1/2012 23:00,6.6,3,125.9,24
1/2/2012 0:00,5.7,1.9,95.2,31
1/2/2012 1:00,5.2,2.4,104.2,16
1/2/2012 2:00,4.6,3,106.1,16
1/2/2012 3:00,3.4,1.9,102.6,15
1/2/2012 4:00,2.8,2,126.8,12
1/2/2012 5:00,2,1.2,76.2,17
1/2/2012 6:00,2.1,1.8,111.6,19
1/2/2012 7:00,3.3,4,121.4,36
1/2/2012 8:00,4.5,4.2,115.3,54
1/2/2012 9:00,6.1,4.5,117.7,40
1/2/2012 10:00,8,5.6,111.3,21
1/2/2012 11:00,9.7,4.8,109.3,16
1/2/2012 12:00,11.3,5,109.2,17
1/2/2012 13:00,12.1,4.8,114,16
1/2/2012 14:00,12.8,4.3,87.6,14
1/2/2012 15:00,13.3,4.4,91.9,12
1/2/2012 16:00,13,3.8,96.7,11
1/2/2012 17:00,12,2,95.1,14
1/2/2012 18:00,10.1,2.4,118,
1/2/2012 19:00,9.4,3.4,137.7,
1/2/2012 20:00,8.2,4.4,150.9,52
