date,temp,ws,wd,pm10
1/1/2012 0:00,8.2,4.7,83.6,16
1/2/2012 0:00,6,4.4,84.4,15
1/3/2012 0:00,6,1.4,297.9,22
1/4/2012 0:00,8.4,3.1,59.9,15
1/5/2012 0:00,6.2,1.9,260.7,21
1/6/2012 0:00,8.2,3.7,258,16
1/7/2012 0:00,7.5,2.3,262.3,17
1/8/2012 0:00,5.1,2.8,260.9,13
1/9/2012 0:00,4.5,4.2,80.9,9
1/10/2012 0:00,4.5,3.1,238.9,12
1/11/2012 0:00,7.8,4.1,253,13
1/12/2012 0:00,3.9,3.8,85.8,14
1/13/2012 0:00,3.3,1.8,31.5,20
1/14/2012 0:00,3.9,1.2,327.9,23
1/15/2012 0:00,9.4,2.6,259.6,15
1/16/2012 0:00,9.6,5.9,259.4,12
1/17/2012 0:00,7.6,4.7,259.9,6
1/18/2012 0:00,7.6,5,255.4,7
1/19/2012 0:00,10.2,5.1,251,9
1/20/2012 0:00,10.4,5,261.6,13
1/21/2012 0:00,10.6,4.2,255.8,11
1/22/2012 0:00,9.7,6.7,278.7,48
1/23/2012 0:00,8.2,2.8,261.8,27
1/24/2012 0:00,6.3,2.9,311.9,12
1/25/2012 0:00,8,2.4,316.8,7
1/26/2012 0:00,7.5,1.5,231.6,13
1/27/2012 0:00,10.6,3.2,284,10
1/28/2012 0:00,8.4,5.5,69.9,17
1/29/2012 0:00,5.9,1.4,283.9,16
1/30/2012 0:00,7.7,2.5,282,20
1/31/2012 0:00,8.4,2.1,263.7,26
2/1/2012 0:00,7.8,2.1,155,21
2/2/2012 0:00,7.9,3.8,269.1,19
2/3/2012 0:00,6.3,2,289.9,22
2/4/2012 0:00,6.4,6.5,87.2,17
2/5/2012 0:00,4.8,5.3,90,22
2/6/2012 0:00,5.1,2.2,99.3,19
2/7/2012 0:00,7.6,4.8,62.7,15
2/8/2012 0:00,6.4,4.5,81.6,29
2/9/2012 0:00,9.4,3.1,270.5,25
2/10/2012 0:00,9.9,2.2,192.8,19
2/11/2012 0:00,9.3,3.7,69.3,46
2/12/2012 0:00,6.4,4.8,70.5,41
2/13/2012 0:00,8.3,4.2,251.8,18
2/14/2012 0:00,8.2,5.3,264.7,167
2/15/2012 0:00,5.8,3.5,280.2,8
2/16/2012 0:00,8.6,4.5,73,18
2/17/2012 0:00,4.5,3.1,323.9,3
2/18/2012 0:00,6.8,3.2,250.2,7
2/19/2012 0:00,7.1,3.8,263.3,8
2/20/2012 0:00,8.4,4.8,260,8
2/21/2012 0:00,8.2,2.9,270,8
2/22/2012 0:00,10.6,5.1,264.5,10
2/23/2012 0:00,13.2,7,269,27
2/24/2012 0:00,8.5,3.8,91.5,48
2/25/2012 0:00,9.2,2,257.8,32
2/26/2012 0:00,11.6,2.9,260.4,20
2/27/2012 0:00,13.3,3.8,188.2,23
2/28/2012 0:00,10.1,7.4,269.3,29
2/29/2012 0:00,8.3,3.5,254.6,16
3/1/2012 0:00,10.5,6.3,272.5,33
3/2/2012 0:00,8.2,6.8,283.5,52
3/3/2012 0:00,5.9,1.4,227.2,18
3/4/2012 0:00,9.1,1.5,240.8,21
3/5/2012 0:00,12,1.9,266.6,30
3/6/2012 0:00,14.5,5.2,253.7,89
3/7/2012 0:00,14.7,8.2,249.3,1098
3/8/2012 0:00,5.4,4.6,314.7,67
3/9/2012 0:00,4.9,7.2,77,40
3/10/2012 0:00,3,3.9,99.7,14
3/11/2012 0:00,7.9,4.4,260.3,10
3/12/2012 0:00,12.1,2,242.2,17
3/13/2012 0:00,13.4,2.1,269.8,15
3/14/2012 0:00,13.5,3.2,248.5,17
3/15/2012 0:00,14,1.9,229,20
3/16/2012 0:00,15.4,2.3,265.8,21
3/17/2012 0:00,15.7,4.5,264.8,38
3/18/2012 0:00,13.4,7.7,242.5,646
3/19/2012 0:00,3.3,6.5,277.6,9
3/20/2012 0:00,4.9,4.7,263.1,5
3/21/2012 0:00,8.9,3.8,238.4,10
3/22/2012 0:00,14.1,3.7,250.2,9
3/23/2012 0:00,15.9,3.4,252.1,12
3/24/2012 0:00,16.6,1.9,278.6,15
3/25/2012 0:00,18.6,2.8,272.5,14
3/26/2012 0:00,17.8,4.1,264.8,18
3/27/2012 0:00,16.1,3.2,266,20
3/28/2012 0:00,16.6,2.3,263.9,21
3/29/2012 0:00,17.3,4.8,266.4,25
3/30/2012 0:00,17.1,4.4,259.4,23
3/31/2012 0:00,18.1,5,256.6,19
4/1/2012 0:00,17.7,6.8,256.8,50
4/2/2012 0:00,10.3,7.6,281.6,55
4/3/2012 0:00,10.8,3.2,260.3,19
4/4/2012 0:00,14.4,3.8,255.3,17
4/5/2012 0:00,18.2,4.1,248.1,19
4/6/2012 0:00,17.3,3.4,272.9,23
4/7/2012 0:00,16.4,3.6,40.4,30
4/8/2012 0:00,19,4.3,92.1,45
4/9/2012 0:00,20.7,2.1,41.3,16
4/10/2012 0:00,21,2.7,118.9,25
4/11/2012 0:00,19.7,4.4,266,33
4/12/2012 0:00,14.4,5.5,267.8,25
4/13/2012 0:00,15.4,4.5,238.4,22
4/14/2012 0:00,12,10,270.5,927
4/15/2012 0:00,10.2,6,281.7,23
4/16/2012 0:00,13.1,1.7,230.1,16
4/17/2012 0:00,16.3,2.4,46.2,28
4/18/2012 0:00,19.3,3.5,280.9,34
4/19/2012 0:00,20,5.6,275.9,32
4/20/2012 0:00,20.4,2.1,46.8,26
4/21/2012 0:00,21.7,1.9,314.7,28
4/22/2012 0:00,23.3,2,276.7,24
4/23/2012 0:00,24.6,2.9,119.7,29
4/24/2012 0:00,24.5,3.7,266.5,31
4/25/2012 0:00,24.2,4,269.1,24
4/26/2012 0:00,22.6,5.3,251.8,198
4/27/2012 0:00,18.9,5.3,265,21
4/28/2012 0:00,19.9,4,261.6,23
4/29/2012 0:00,20.4,3.5,258.2,26
4/30/2012 0:00,21,3.8,259.8,27
5/1/2012 0:00,21.2,4.5,254.2,36
5/2/2012 0:00,20.5,4.8,259.9,27
5/3/2012 0:00,20.5,3.8,260.6,30
5/4/2012 0:00,21.3,3.5,261.9,31
5/5/2012 0:00,21.5,4.3,253.4,32
5/6/2012 0:00,21.2,3.7,250.8,28
5/7/2012 0:00,20.6,3.8,258.6,37
5/8/2012 0:00,15.8,6.9,67.3,59
5/9/2012 0:00,14,3.9,106.2,14
5/10/2012 0:00,14.9,1.8,245.5,9
5/11/2012 0:00,19.9,3.2,159.7,23
5/12/2012 0:00,20.7,3.9,112.8,19
5/13/2012 0:00,21.7,4.9,81.8,25
