date,temp,ws,wd,pm10
1/1/2012 0:00,9.7,2.8,64.5,8
1/1/2012 1:00,11.3,7.1,38.3,16
1/1/2012 2:00,10.7,3.2,88.6,13
1/1/2012 3:00,8,3.5,107,12
1/1/2012 4:00,5.6,5.7,90.4,13
1/1/2012 5:00,5.4,5.2,91.5,16
1/1/2012 6:00,3.7,4.5,73.7,14
1/1/2012 7:00,2.9,4.3,70.3,15
1/1/2012 8:00,4.8,4.8,75.1,19
1/1/2012 9:00,7.5,6.1,91.9,21
1/1/2012 10:00,9.7,6.9,80.9,18
1/1/2012 11:00,10.3,6.8,84.7,19
1/1/2012 12:00,11.6,6.7,90.6,19
1/1/2012 13:00,12.4,6.4,96.2,20
1/1/2012 14:00,13.2,5.4,100.2,16
1/1/2012 15:00,13.5,4.9,100,16
1/1/2012 16:00,13.1,4.3,105.3,18
1/1/2012 17:00,10.4,2.8,106.6,35
1/1/2012 18:00,9,3.8,102.2,26
1/1/2012 19:00,6.6,3.8,65.5,17
1/1/2012 20:00,5.4,3.1,63.3,15
1/1/2012 21:00,4.2,3.6,54.7,15
1/1/2012 22:00,4.5,4.2,71.2,12
1/1/2012 23:00,4.5,3.4,90.4,12
1/2/2012 0:00,3.5,3.7,82.8,12
1/2/2012 1:00,2.6,2.7,117.9,16
1/2/2012 2:00,2,4,96.9,12
1/2/2012 3:00,2,4,84.2,11
1/2/2012 4:00,1.8,4.3,87.9,10
1/2/2012 5:00,1.1,4.8,86.9,10
1/2/2012 6:00,2.1,4.7,77,11
1/2/2012 7:00,2.2,3.7,72.8,13
1/2/2012 8:00,4,4.6,83.9,15
1/2/2012 9:00,6,4.9,86.1,14
1/2/2012 10:00,8,5.5,93.4,15
1/2/2012 11:00,9.4,5.9,99.6,16
1/2/2012 12:00,10.9,5.8,102.2,17
1/2/2012 13:00,11.8,6,101.5,21
1/2/2012 14:00,12.4,6.4,95,18
1/2/2012 15:00,12.9,6,98.1,18
1/2/2012 16:00,12.4,5.3,96,20
1/2/2012 17:00,9.6,3.9,94,24
1/2/2012 18:00,7.1,3.2,71.9,21
1/2/2012 19:00,5.4,3.6,62.9,16
1/2/2012 20:00,4.3,2.8,60.9,16
1/2/2012 21:00,4.4,2.8,57,14
1/2/2012 22:00,4.3,4.3,56,12
1/2/2012 23:00,4.7,4,59.5,10
1/3/2012 0:00,3.3,1.8,17.2,11
1/3/2012 1:00,0.7,2.5,317.8,13
1/3/2012 2:00,-0.7,2.2,330.4,10
1/3/2012 3:00,-0.8,2.3,324.8,10
1/3/2012 4:00,-1.1,2.2,319.7,11
1/3/2012 5:00,-1.6,1.8,317.4,11
1/3/2012 6:00,-2,0.3,313.6,19
1/3/2012 7:00,-2.5,0,226.8,36
1/3/2012 8:00,-0.1,0,279.2,35
1/3/2012 9:00,4,0.1,65.3,28
1/3/2012 10:00,7.9,0.5,86.4,12
1/3/2012 11:00,10.1,1.2,242.6,15
1/3/2012 12:00,11.9,1.4,229.6,18
1/3/2012 13:00,13.6,2.6,222.9,20
1/3/2012 14:00,14.7,2.9,232.1,22
1/3/2012 15:00,15.3,3,220.5,26
1/3/2012 16:00,15.4,2.3,239,24
1/3/2012 17:00,13.7,0,192.2,29
1/3/2012 18:00,11.7,0.7,62.9,41
1/3/2012 19:00,8.4,2.2,42.9,29
1/3/2012 20:00,8.2,1.4,44.1,18
1/3/2012 21:00,8,0.3,317.9,33
1/3/2012 22:00,4.9,1.8,299.3,47
1/3/2012 23:00,2.7,1.9,296.4,31
1/4/2012 0:00,1.9,0.7,150.3,29
1/4/2012 1:00,1.5,1.5,273.6,41
1/4/2012 2:00,1.2,1,280,18
1/4/2012 3:00,0.1,0.1,255.5,12
1/4/2012 4:00,0.1,0.5,293.5,16
1/4/2012 5:00,3,0.6,80,21
1/4/2012 6:00,5.2,5.1,74,10
1/4/2012 7:00,4.1,4.7,76,9
1/4/2012 8:00,7.4,4.9,52.3,11
1/4/2012 9:00,11.7,7.4,54.9,39
1/4/2012 10:00,14.4,8.9,42.5,14
1/4/2012 11:00,15.1,7.5,48.7,6
1/4/2012 12:00,15.6,5.1,59.3,6
1/4/2012 13:00,16.1,4.1,74.8,6
1/4/2012 14:00,16.5,4.6,78.5,9
1/4/2012 15:00,16.7,4.7,76.7,7
1/4/2012 16:00,16.2,4.1,69.2,8
1/4/2012 17:00,13.8,2.6,59.3,10
1/4/2012 18:00,11,2.8,27.2,10
1/4/2012 19:00,7.9,1.1,45.2,10
1/4/2012 20:00,7.9,0,227,12
1/4/2012 21:00,7.2,0.6,193.3,16
1/4/2012 22:00,5.5,0.3,178.5,16
1/4/2012 23:00,2.4,1.7,306.6,25
1/5/2012 0:00,0.7,1.5,302.5,15
1/5/2012 1:00,0.4,1.9,300.3,17
1/5/2012 2:00,-0.8,2.9,312.3,8
1/5/2012 3:00,-1.3,2.5,315.2,6
1/5/2012 4:00,-1.2,2.2,290.2,7
1/5/2012 5:00,-1.2,2.3,308.8,7
1/5/2012 6:00,-1.6,1.2,312.9,8
1/5/2012 7:00,-2,0.4,302,15
1/5/2012 8:00,0.7,0.3,244.1,50
1/5/2012 9:00,4.9,0.3,216.5,34
1/5/2012 10:00,8.4,0.3,144.7,14
1/5/2012 11:00,11.4,0.8,187.1,11
1/5/2012 12:00,13.5,2,223.1,28
1/5/2012 13:00,14.8,2.5,221.8,15
1/5/2012 14:00,15.7,3.6,232.7,11
1/5/2012 15:00,16.2,4.2,236,11
1/5/2012 16:00,16.2,3.9,234.5,14
1/5/2012 17:00,13.8,2,230.7,49
1/5/2012 18:00,11.2,1.6,235.6,66
1/5/2012 19:00,9.6,1.9,269.6,40
1/5/2012 20:00,6.7,4,292.5,36
1/5/2012 21:00,5.7,1.6,284.6,18
